method,iter,K,budget,NMI,aRand,purity,numclusters,time,trueclusters
seed,41,0,0,0.832575187780327,0.570379163331772,0.987,16,0.044309,12
gpbi,41,4,2000,1,1,1,12,1.309366,12
nbc2,42,0,0,0.976852136532098,0.983394981077459,1,22,0.06833,12
bapd,42,0,0,0.372175470094268,0.123442915108279,0.685,75,0.797648,12
seed,42,0,0,0.827013127696828,0.553827267617917,0.987,16,0.04567,12
gpbi,42,4,2000,1,1,1,12,1.269364,12
nbc2,43,0,0,0.969074602181982,0.981515510916431,1,25,0.068257,12
bapd,43,0,0,0.434014366643296,0.181801740509285,0.76,93,0.937747,12
seed,43,0,0,0.821018701395145,0.54148887185913,0.987,16,0.045629,12
gpbi,43,4,2000,1,1,1,12,1.271532,12
nbc2,44,0,0,0.978028543774951,0.988478847210245,1,22,0.068385,12
bapd,44,0,0,0.442092478031569,0.185562024959824,0.736,71,0.928744,12
seed,44,0,0,0.939699849302953,0.976975114447365,0.988,14,0.045502,12
gpbi,44,4,2000,1,1,1,12,1.299142,12
nbc2,45,0,0,0.985250850670988,0.991426928194983,1,19,0.068014,12
bapd,45,0,0,0.470514347081659,0.301740552375831,0.774,62,0.816032,12
seed,45,0,0,0.958770052613205,0.987472783641967,0.988,13,0.045625,12
gpbi,45,4,2000,1,1,1,12,1.282668,12
nbc2,46,0,0,0.978639970750122,0.984339381432148,1,20,0.068686,12
bapd,46,0,0,0.436696551362695,0.27489653265681,0.792,69,0.888802,12
seed,46,0,0,0.960631756648544,0.989500167710237,0.988,13,0.0454,12
gpbi,46,4,2000,1,1,1,12,1.273371,12
nbc2,47,0,0,0.981476580758666,0.988916547979789,1,19,0.068337,11
bapd,47,0,0,0.483953400329763,0.325959778452009,0.838,78,0.876673,11
seed,47,0,0,0.962505109848493,0.990684320268918,0.989,12,0.045068,11
gpbi,47,4,2000,1,1,1,11,1.281088,11
nbc2,48,0,0,0.988581159147165,0.992134252809351,1,15,0.068176,11
bapd,48,0,0,0.421688297129623,0.23126819410173,0.817,77,1.149358,11
seed,48,0,0,0.970987014669188,0.993100266170976,0.99,11,0.045108,11
gpbi,48,4,2000,1,1,1,11,1.304397,11
nbc2,49,0,0,0.988896700503997,0.994175399090447,1,15,0.068269,11
bapd,49,0,0,0.436432146292855,0.174404726247224,0.842,64,0.846363,11
seed,49,0,0,0.973675484758066,0.995685733667729,0.99,11,0.044867,11
gpbi,49,4,2000,1,1,1,11,1.280497,11
nbc2,50,0,0,0.991802822883673,0.9945701268863,1,14,0.068292,11
bapd,50,0,0,0.456690276683525,0.276655233464213,0.827,60,0.610962,11
seed,50,0,0,0.973234917931257,0.995725900559125,0.99,11,0.044792,11
gpbi,50,4,2000,1,1,1,11,1.283065,11
